no,name,gubun,do,sigungu,address,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입,longitude,latitude
1,데일리랜드 ,민간,강원도,춘천시,강원 춘천시 동산면 윗성골길 36,0,14,0,0,0,0,7,0,0,8,0,0,12,0,0,2015.9.8,개별,"전기,무선인터넷,장작판매,온수,물놀이장,마트_편의점",,8,1,2,4,,화로대,불가능,127.8456404,37.75848308
2,(주)디노담양힐링파크 지점,민간,전라남도,담양군,전남 담양군 봉산면 탄금길 9-26,2,0,22,2,0,,4,6,0,6,7,0,13,11,0,2016.10.27,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설,마트_편의점","운동장,강/물놀이,농어촌체험시설",20,2,1,24,"낚시,여름물놀이",,불가능,126.9609422,35.27144048
3,(주)쉐르빌리안티티,민간,강원도,홍천군,강원 홍천군 서면 밤벌길19번길 111,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2016.9.13,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트_편의점",,0,0,0,0,,,가능,127.5967171,37.70151912
4,(주)아웃오브파크,민간,강원도,춘천시,강원도 춘천시 남면 가옹개길 52-9,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,2017.9.18,개별,운동시설,수영장,0,0,0,0,,,불가능,127.5111682,37.72786384
5,(주)양촌여울체험캠프,민간,경상남도,창원시,경상남도 창원시 마산합포구 진전면 의산삼일로 60,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016.12.19,개별,"전기,온수,물놀이장,산책로,마트_편의점","산책로,농어촌체험시설",0,0,0,0,,,가능(소형견),128.3752829,35.13650767
6,(주)어반슬로우시티,민간,강원도,춘천시,강원도 춘천시 남면 가옹개길 108 ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2015.8.4,개별,,,0,0,0,0,,,불가능,127.512331,37.73266245
7,이스케이프 지점 (휴토피아),민간,강원도,홍천군,강원도 홍천군 서면 팔봉산로 976,0,0,17,0,0,,0,0,0,0,0,0,0,0,0,2016.4.29,개별,"전기,무선인터넷,장작판매,온수,물놀이장,마트_편의점","낚시,강/물놀이",17,0,0,17,가을단풍명소,,불가능,127.6893454,37.69596779
8,드림랜드오토캠핑장,민간,경상북도,영천시,경북 영천시 고경면 고도길 38,135,135,17,0,0,,7,0,0,7,0,0,110,0,0,2010.1.11,공동취사장,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","산책로,강/물놀이,청소년체험시설",15,0,0,10,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길","텐트,릴선,화로대,난방기구,식기",가능,129.0015165,35.9843921
9,제주 자연인 글램핑,민간,제주특별자치도,제주시,제주특별자치도 제주시 아란서길 110-0 ,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2016.8.26,,운동시설,,0,0,0,0,,,불가능,126.5399689,33.46876097
10,(주)태평소금 천일염 힐링캠프,민간,전라남도,신안군,전라남도 신안군 증도면 지도증도로 1053-11 ,9,0,0,10,0,,6,0,0,6,0,0,9,0,0,2016.5.11,개별,"전기,장작판매,온수,물놀이장,놀이터,마트_편의점","산책로,낚시,해수욕,청소년체험시설",20,0,0,10,"일출명소,일몰명소,낚시,걷기길",화로대,불가능,126.1769557,34.99684782
