no,name,gubun,do,sigungu,address,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입,longitude,latitude
2796,백자동 캠핑장,민간,경기도,가평군,경기 가평군 북면 가화로 2575-22,0,20,0,0,0,,0,0,0,0,0,0,20,0,0,2020.8.22,개별,"전기,장작판매,온수,물놀이장,놀이터,운동시설","계곡 물놀이,낚시",20,0,0,0,"일몰명소,봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",,가능(소형견),127.463774055937,37.9646350955216
2797,도명산캠핑장,민간,충청북도,괴산군,충북 괴산군 청천면 고성4길 4-2,0,40,0,0,0,,0,0,0,0,0,0,20,20,0,2020.8.24,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설,마트_편의점","계곡 물놀이,산책로,낚시",25,1,0,0,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",,가능(소형견),127.784161871444,36.6600268298215
2798,옥전캠핑장,민간,충청북도,제천시,충북 제천시 봉양읍 옥전길 273-25,50,28,0,0,0,,7,7,10,9,15,10,17,32,0,2020.8.25,개별,"전기,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","계곡 물놀이,산책로",25,0,0,6,"여름물놀이,걷기길","릴선,화로대",가능(소형견),128.082773241151,37.1800785774537
2799,광덕그린농원 야영장,민간,강원도,화천군,강원 화천군 사내면 검단길 213-31,0,16,0,0,0,0.0,0,0,0,0,0,0,16,0,0,2020.8.25,개별,"전기,무선인터넷,장작판매,온수,놀이터,운동시설","계곡 물놀이,산책로,운동장",0,0,0,0,가을단풍명소,,가능(소형견),127.470863761993,38.1101296088725
2800,늘솔길 캠핑장,민간,강원도,춘천시,강원 춘천시 동면 야시대로 1502,25,0,0,0,0,,0,0,0,0,0,0,0,0,0,2020.8.25,개별,"전기,무선인터넷,장작판매,운동시설",계곡 물놀이,0,0,0,0,가을단풍명소,,불가능,127.936266030392,37.8566601836276
2801,동두천 자연휴양림,자연휴양림,경기도,동두천시,경기 동두천시 탑동가산로 1 (탑동동),15,0,0,0,0,,0,0,0,0,0,0,9,6,0,2020.8.26,개별,"전기,물놀이장,놀이터,운동시설,마트_편의점","계곡 물놀이,산책로,농어촌체험시설",9,1,1,0,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",,가능,127.137160403747,37.8898854795311
2802,(주)수피아캠핑카라반,민간,강원도,홍천군,강원 홍천군 서면 한서로 2141-16,0,0,0,7,0,,0,0,0,0,0,0,0,0,0,2020.8.27,개별,"전기,무선인터넷,장작판매,운동시설",,0,0,0,0,스키,,가능(소형견),127.673024568861,37.6173607814125
2803,양주 패밀리 캠핑장,민간,경기도,양주시,경기 양주시 부흥로 2191-46 (삼숭동),0,18,0,0,0,,0,0,0,0,0,0,18,0,0,2020.8.31,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,놀이터,운동시설,마트_편의점",산책로,15,2,0,1,걷기길,화로대,가능,127.09551085764,37.8087851627719
2804,연천리버힐캠핑장,민간,경기도,연천군,경기 연천군 미산면 숭의전로 520-21,19,0,7,0,0,,0,0,0,0,0,0,0,0,0,2020.8.31,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","산책로,낚시",20,0,0,5,,"릴선,화로대",가능(소형견),126.982841972828,38.0254887811102
2805,네이처파크 자연휴양림,자연휴양림,대구광역시,달성군,대구 달성군 가창면 가창로175길 8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2015.7.28,개별,,,0,0,0,0,,,불가능,128.63385410468,35.7878682062805
